rok,kraj,strana_cislo,strana_nazev,kandidat_cislo,kandidat,kandidat_vek,navrhujici_strana,prislusnost,prednostni_hlasy_abs,prednostni_hlasy_pct,mandat,poradi
2013,Plzeňský kraj,13,Suveren.,3,Figura Martin,42,Suveren.,BEZPP,38,4.52,-,NA
2013,Plzeňský kraj,11,KDU-ČSL,16,Filipi Dominik Mgr.,30,KDU-ČSL,KDU-ČSL,200,1.56,-,NA
2013,Plzeňský kraj,2,Svobodní,9,Fischer Josef Bc.,28,Svobodní,Svobodní,68,1.13,-,NA
2013,Plzeňský kraj,24,KČ,9,Fišerová Iveta,38,KČ,BEZPP,16,2.31,-,NA
2013,Plzeňský kraj,17,Úsvit,12,Fryč Pavel,22,Úsvit,BEZPP,205,1.39,-,NA
2013,Plzeňský kraj,18,DSSS,14,Gavel Martin,30,DSSS,DSSS,17,0.65,-,NA
2013,Plzeňský kraj,23,SZ,6,Gažáková Eva Mgr.,36,SZ,BEZPP,155,2.56,-,NA
2013,Plzeňský kraj,15,SPOZ,8,Glos Jiří Ing.,64,SPOZ,BEZPP,54,2.14,-,NA
2013,Plzeňský kraj,5,HLVZHŮRU,9,Grímm Tomáš,34,HLVZHŮRU,BEZPP,16,1.52,-,NA
2013,Plzeňský kraj,13,Suveren.,6,Hacaperková Zdeňka,31,Suveren.,BEZPP,20,2.38,-,NA
2013,Plzeňský kraj,11,KDU-ČSL,17,Hájek Milan Ing.,53,KDU-ČSL,KDU-ČSL,122,0.95,-,NA
2013,Plzeňský kraj,10,SsČR,20,Hájková Lenka,36,SsČR,BEZPP,14,1.54,-,NA
